Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,3,26,0.025500001,358.6231079,0.028993912,192.6194,111.9499969,0.756956875
1,3,27,0.026500001,421.4309692,0.028993912,426.8778076,93.02999878,0.820430815
1,3,28,0.027500001,459.9050293,0.028993912,2392.676514,65.61999512,0.745554864
1,3,29,0.028500001,429.572113,0.028703971,237.3364563,46.79999924,0.715958178
1,3,30,0.029500001,381.1595764,0.028993912,154.7173615,43.38999939,0.676200926
1,3,31,0.030500001,559.9193115,0.028124094,913.2373657,39.40999985,0.788076758
1,3,32,0.031500002,883.5521851,0.027544215,3339.956787,24.37999916,0.807783783
1,3,33,0.032500002,616.6080933,0.023485068,592.8466797,13.59999943,0.685460687
1,3,34,0.033500002,1515.177368,0.023485068,2741.124756,9.019999504,0.592604876
1,3,35,0.034500002,502.5015869,0.020295737,,7.739999771,0.821519315
1,3,36,0.035500002,750.7498169,0.015656712,4888.578125,3.669999838,0.502027869
1,4,1,0.0005,32758.85156,0.016213246,28770.63867,10.86999989,0.372396439
1,4,2,0.0015,11976.80371,0.019236054,13007.48828,25.44999886,0.719121218
1,4,3,0.0025,3356.639893,0.02528167,3370.438721,122.409996,0.909539402
1,4,4,0.0035,3837.515869,0.026930474,1385.633911,281.8800049,0.741245568
1,4,5,0.0045,2435.909912,0.027480077,4847.858887,548.3699951,0.974732757
1,4,6,0.0055,1572.983032,0.027480077,1211.007813,696.6599731,0.915081203
1,4,7,0.0065,1572.582642,0.027480077,1304.890869,976.7299805,0.953203619
1,4,8,0.0075,668.848877,0.027480077,432.7507935,1219.22998,0.95132798
1,4,9,0.0085,946.2235107,0.027480077,337.6416931,1821.109985,0.932526887
1,4,10,0.009500001,725.9879761,0.027480077,234.0269775,1964.109985,0.957807541
1,4,11,0.010500001,809.1030273,0.027480077,255.7144318,2379.859863,0.962950468
1,4,12,0.011500001,699.6881104,0.027480077,159.5236359,2470.189941,0.947194517
1,4,13,0.012500001,763.0935059,0.027480077,140.5439911,3055.639893,0.946563304
1,4,14,0.013500001,644.8448486,0.027480077,109.960289,3370.139893,0.945078373
1,4,15,0.014500001,564.4334106,0.027480077,87.53093719,3344.669922,0.947441161
1,4,16,0.015500001,570.0112915,0.027480077,91.64971161,3144.189941,0.901499212
1,4,17,0.016500001,575.4606934,0.027480077,121.1053543,2702.73999,0.94126153
1,4,18,0.017500001,527.0534058,0.027480077,91.46762085,2248.72998,0.944596231
1,4,19,0.018500001,592.4230347,0.027480077,282.815033,1857.119995,0.946364939
1,4,20,0.019500001,511.7894897,0.027480077,96.9870224,1546.319946,0.932106197
1,4,21,0.020500001,499.1676025,0.027480077,122.1655502,1289.439941,0.933845043
1,4,22,0.021500001,505.827179,0.027480077,108.6830673,1127.309937,0.921222746
1,4,23,0.022500001,535.4161377,0.027480077,142.1697083,1007.759949,0.929774761
1,4,24,0.023500001,467.9205322,0.027480077,103.4809723,826.5,0.901352286
1,4,25,0.024500001,575.291626,0.027480077,226.9748535,694.2299805,0.874798
1,4,26,0.025500001,624.4992676,0.027480077,303.3392029,554,0.94602567
1,4,27,0.026500001,572.7692871,0.027480077,193.4597473,459.0899963,0.88534826
1,4,28,0.027500001,676.1509399,0.027480077,538.6654053,327.519989,0.857953429
1,4,29,0.028500001,636.2980957,0.027480077,242.0216064,236.5499878,0.893872798
1,4,30,0.029500001,8066.855469,0.027480077,51288.81641,154.8799896,0.899842084
1,4,31,0.030500001,629.7392578,0.027480077,224.4167175,109.6399994,0.812279701
1,4,32,0.031500002,1662.721558,0.027205275,1748.607422,70.22999573,0.822487474
1,4,33,0.032500002,577.1094971,0.026655674,302.6852722,50.31999969,0.830285609
1,4,34,0.033500002,1310.093628,0.023083264,6757.837402,26.62999916,0.895187914
1,4,35,0.034500002,1956.333374,0.024457268,7358.591797,18.61999893,0.758366346
1,4,36,0.035500002,537.3792725,0.016762847,715.4439087,10.81999969,0.745130539
1,4,37,0.036500002,1101.891357,0.01483924,2349.591309,10.73999977,0.527591944
1,4,38,0.037500002,539.1829834,0.013465237,2474.046143,5.909999847,0.667407274
1,4,39,0.038500002,4170.825684,0.008244023,13485.2334,2.929999828,0.001773564
1,4,40,0.039500002,320.5305481,0.005770816,,3.149999857,0.858891666
