Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,2,43,0.042500002,0.006132426,0.023593646,0.001530029,63.02000046,0.505086362
1,2,44,0.043500002,0.005721385,0.019340634,0.001856742,41.36000061,0.470056593
1,2,45,0.044500002,0.004556388,0.020717915,0.00216267,32.02999878,0.524755836
1,2,46,0.045500002,0.004065029,0.017335368,0.002658061,24.42000008,0.51695329
1,2,47,0.046500002,0.003568508,0.016198291,0.002568539,14.84999943,0.642059267
1,2,48,0.047500002,0.002548003,0.009790072,0.005548856,12.35999966,0.7028566
1,2,49,0.048500002,0.002952828,0.00901903,0.004043508,13.34999943,0.618987143
1,2,50,0.049500002,0.002841929,0.008999242,0.00347225,9.739999771,0.427690804
1,2,51,0.050500002,0.002832524,0.008136835,0.003360775,5.329999924,0.169006899
1,2,52,0.051500002,0.002868499,0.008911996,0.003216463,4.139999867,0.046943113
1,3,1,0.0005,3933.922363,0.014899713,585.2174072,4.789999962,0.0112893
1,3,2,0.0015,864.6049194,0.017478511,,13.71999931,0.911800385
1,3,3,0.0025,1026.263428,0.022922635,471.9324646,16.48999977,0.658836722
1,3,4,0.0035,662.138916,0.024068767,386.2417603,23.09000015,0.428940803
1,3,5,0.0045,515.2573853,0.022636103,532.6199951,24.88999939,0.572007239
1,3,6,0.0055,363.5488892,0.024641832,1240.560425,27.68999863,0.857137859
1,3,7,0.0065,280.3211975,0.026361032,233.6694336,31.37999916,0.621016026
1,3,8,0.0075,356.7015991,0.027793696,1429.048462,47.29999924,0.941337228
1,3,9,0.0085,176.266037,0.027220631,286.0656128,52.16999817,0.652853966
1,3,10,0.009500001,247.0436707,0.028653296,132.8558502,52.09000015,0.147398964
1,3,11,0.010500001,305.9033203,0.028080229,1171.388428,61.69999695,0.932108641
1,3,12,0.011500001,168.6662903,0.028366761,183.8885193,75.68999481,0.898542225
1,3,13,0.012500001,151.6533661,0.028653296,89.34455872,99.44999695,0.798616469
1,3,14,0.013500001,150.4512787,0.028653296,73.7536087,89.0799942,0.778107584
1,3,15,0.014500001,198.4015198,0.028653296,121.4975052,116.3399963,0.829926252
1,3,16,0.015500001,169.5587616,0.028653296,147.6987152,123.0599976,0.720443964
1,3,17,0.016500001,192.6804962,0.028653296,87.29968262,148.5200043,0.833601236
1,3,18,0.017500001,251.455658,0.028653296,315.8239441,149.3099976,0.89682436
1,3,19,0.018500001,243.6626282,0.028653296,108.234375,165.25,0.805686653
1,3,20,0.019500001,222.7809906,0.028653296,77.2612381,178.4899902,0.831267774
1,3,21,0.020500001,272.3128967,0.028653296,85.43164825,191.0099945,0.805295944
1,3,22,0.021500001,242.0002441,0.028653296,73.49098969,187.1900024,0.781611621
1,3,23,0.022500001,274.8332825,0.028653296,144.0545197,186.1699982,0.852966905
1,3,24,0.023500001,347.1066284,0.028653296,209.8377533,161.4199982,0.850452304
1,3,25,0.024500001,389.1748657,0.028653296,184.3836975,145.6999969,0.794223487
1,3,26,0.025500001,312.3849792,0.028653296,105.3401489,109.8099976,0.737365007
1,3,27,0.026500001,398.4236145,0.028653296,154.8116608,94.65999603,0.768000722
1,3,28,0.027500001,502.9778442,0.028653296,520.8921509,71.31999969,0.613587618
1,3,29,0.028500001,452.7502136,0.028653296,331.5849304,49.93999863,0.680668414
1,3,30,0.029500001,1192.576416,0.028080229,872.6433105,41.87999725,0.654756963
1,3,31,0.030500001,1036.764893,0.028653296,2781.635986,29.94999886,0.487135172
1,3,32,0.031500002,644.9074707,0.028366761,277.2983093,23.29999924,0.692003131
1,3,33,0.032500002,971.6998901,0.025501432,2903.257813,14.80999947,0.666341066
