Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,2,55,0.054500003,0.000215676,0.001172366,0.055704679,3.299999952,0.514267504
1,2,56,0.055500003,0.000236677,0.001238982,,2.819999933,0.532857359
1,2,57,0.056500003,0.000294606,0.001852271,0.022720194,1.5,0.091328479
1,3,1,0.0005,3507.690186,0.014165944,12943.43652,3.799999952,0.468346357
1,3,2,0.0015,645.4109497,0.018502457,3435.915283,12.57999992,0.761242509
1,3,3,0.0025,789.8413086,0.021682568,12980.18262,14.02999973,0.000110595
1,3,4,0.0035,712.3724976,0.02254987,1502.482178,19.69999886,0.747349143
1,3,5,0.0045,528.8942261,0.023417173,,13.09999943,0.883286536
1,3,6,0.0055,345.1502686,0.02601908,582.8383179,26.42000008,0.785419703
1,3,7,0.0065,302.6243896,0.02601908,180.1903534,41.45999908,0.769091129
1,3,8,0.0075,238.760788,0.026886383,191.0439453,39.55999756,0.694444001
1,3,9,0.0085,120.2396774,0.028042786,56.39205933,52.64999771,0.592521846
1,3,10,0.009500001,207.9611053,0.028331887,246.0152588,63.5,0.687949717
1,3,11,0.010500001,232.0409698,0.028910089,575.1022949,60.12999725,0.902051389
1,3,12,0.011500001,158.4851685,0.028910089,193.1179352,72.65000153,0.69427973
1,3,13,0.012500001,146.1096802,0.028910089,147.1502838,78.54999542,0.826517701
1,3,14,0.013500001,285.0432129,0.028910089,802.4559326,96.90000153,0.490017951
1,3,15,0.014500001,156.1060181,0.028910089,74.86685944,122.1800003,0.836570799
1,3,16,0.015500001,215.1264648,0.028910089,124.4161987,133.8199921,0.828246415
1,3,17,0.016500001,219.170105,0.028910089,116.8949203,152.3099976,0.857041121
1,3,18,0.017500001,349.9720764,0.028910089,1283.879761,163.1399994,0.946058214
1,3,19,0.018500001,225.111618,0.028910089,100.3076782,172.0399933,0.737456143
1,3,20,0.019500001,240.0561066,0.028910089,81.9256897,187.3000031,0.805007756
1,3,21,0.020500001,250.6179962,0.028910089,68.12632751,188.1699982,0.765509963
1,3,22,0.021500001,260.8865967,0.028910089,84.66146851,169.75,0.76021421
1,3,23,0.022500001,253.5894012,0.028910089,94.58069611,159.9799957,0.824258506
1,3,24,0.023500001,285.6082153,0.028910089,81.44605255,159.8799896,0.793226004
1,3,25,0.024500001,270.6748047,0.028910089,81.2816925,148.7899933,0.751631796
1,3,26,0.025500001,294.5030823,0.028910089,96.9611969,116.0899963,0.750464082
1,3,27,0.026500001,318.2622986,0.028910089,122.9798965,91.36999512,0.733528554
1,3,28,0.027500001,393.1873474,0.028620988,166.3136597,68.61000061,0.703389287
1,3,29,0.028500001,455.0232849,0.028910089,191.3760376,56.34999847,0.674306214
1,3,30,0.029500001,399.4079285,0.028910089,167.4508057,43.59000015,0.663508356
1,3,31,0.030500001,485.8024597,0.028331887,314.3443298,29.38999939,0.653933823
1,3,32,0.031500002,670.9793701,0.028042786,5644.686523,24.17000008,0.911297441
1,3,33,0.032500002,506.6331482,0.026308181,971.2250366,15.47999954,0.788906753
1,3,34,0.033500002,1380.688232,0.02254987,567.9748535,10.46999931,0.055154774
1,3,35,0.034500002,1303.44104,0.019947963,,7.909999847,0.805487394
1,3,36,0.035500002,377.2645874,0.015611447,335.3411865,5.559999943,0.325461686
1,3,37,0.036500002,443.1574097,0.013876843,1364.121338,4.099999905,0.549440265
1,3,38,0.037500002,1669.347168,0.006938422,209.4416504,1.319999933,0.037763659
1,4,1,0.0005,30779.11914,0.016041325,24145.17578,7.529999733,0.296384692
1,4,2,0.0015,12744.40234,0.020935291,8779.431641,25.44999886,0.611686766
1,4,3,0.0025,7490.754883,0.026373029,1830.736206,123.9199982,0.361163259
1,4,4,0.0035,1801.186646,0.026916802,1780.195557,233.6599884,0.899894178
1,4,5,0.0045,6813.388672,0.02718869,11288.79297,473.4499817,0.949328184
1,4,6,0.0055,1683.437622,0.02718869,1339.058716,682.5899658,0.9271878
1,4,7,0.0065,1246.869019,0.02718869,514.7047119,946.2099609,0.870966911
1,4,8,0.0075,1036.830566,0.02718869,760.6132202,1433.919922,0.959136605
1,4,9,0.0085,930.9542236,0.02718869,271.7439575,1711.23999,0.927852452
1,4,10,0.009500001,775.0151367,0.02718869,245.7618561,2069.469971,0.959124565
1,4,11,0.010500001,806.2866821,0.02718869,265.666626,2244.23999,0.963921368
1,4,12,0.011500001,838.7263184,0.02718869,202.2025604,2734.050049,0.959021151
1,4,13,0.012500001,748.7645874,0.02718869,148.5728455,3042.139893,0.955314934
1,4,14,0.013500001,693.1577148,0.02718869,135.1752777,3246.800049,0.947727263
1,4,15,0.014500001,583.2642212,0.02718869,112.2705154,3292.23999,0.950471461
1,4,16,0.015500001,579.3525391,0.02718869,91.86279297,3131.26001,0.942204058
1,4,17,0.016500001,522.5187988,0.02718869,95.03778076,2687.790039,0.947537661
1,4,18,0.017500001,605.3452759,0.02718869,151.5572968,2327.060059,0.9482885
1,4,19,0.018500001,555.2910156,0.02718869,68.28403473,1799.890015,0.796283126
1,4,20,0.019500001,518.710083,0.02718869,98.12186432,1522.01001,0.926726401
1,4,21,0.020500001,494.8008728,0.02718869,108.1178131,1389,0.938404858
1,4,22,0.021500001,614.4920654,0.02718869,276.6130066,1221.079956,0.949354112
1,4,23,0.022500001,680.9356689,0.02718869,952.0739746,1031.809937,0.809822679
1,4,24,0.023500001,546.026062,0.02718869,142.7162323,874.5299683,0.932820916
1,4,25,0.024500001,620.0272217,0.02718869,205.3048553,726.9299927,0.930412948
1,4,26,0.025500001,549.4417725,0.02718869,156.8753967,560.4500122,0.917203903
1,4,27,0.026500001,631.7418823,0.02718869,341.0115967,457.289978,0.925549626
1,4,28,0.027500001,727.3175659,0.02718869,422.004425,314.1799927,0.90800482
1,4,29,0.028500001,717.1495361,0.02718869,373.2611389,228.6799927,0.927790761
1,4,30,0.029500001,720.6286621,0.02718869,281.7000732,165.2200012,0.884946227
1,4,31,0.030500001,646.7161865,0.02718869,385.896759,111.5299988,0.897056401
1,4,32,0.031500002,889.2305298,0.026916802,503.1886902,66.40999603,0.778125167
1,4,33,0.032500002,1585.883423,0.025557369,1556.639404,46.87999725,0.818500102
1,4,34,0.033500002,801.7142944,0.025013594,242.6263428,32.66999817,0.657834232
1,4,35,0.034500002,1530.414551,0.020935291,5504.870605,13.27999973,0.783419609
1,4,36,0.035500002,643.3616943,0.0165851,2285.421387,9.719999313,0.717546642
1,4,37,0.036500002,1055.999023,0.014681892,1219.104248,5.710000038,0.174169138
1,4,38,0.037500002,447.8229675,0.013050571,446.0730896,6.069999695,0.539985597
1,4,39,0.038500002,449.5477295,0.011147363,1470.260986,3.309999943,0.005266953
1,4,40,0.039500002,861.6074219,0.006797173,301.4721985,2.849999905,0.103925444
1,4,41,0.040500002,465.3231506,0.004893964,,2.519999981,0.809976578
1,4,42,0.041500002,358.8690491,0.003806417,,0.669999957,0.208941743
